"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"165",NA,"18-44","NH Black","HSG/GED",0.000195236235845373,0.00525760414894031,-3.29829664445863,2,9.07496349959373e-21,1.5881186124289e-20
"166",NA,"18-44","NH Black","Some college/TS",9.76181179226865e-05,0.0168660501421467,-5.16890718130645,1,8.39692146957915e-74,2.9389225143527e-73
"167",NA,"18-44","NH Black",">=College grad",9.76181179226865e-05,0.00665697613828424,-4.22893912624461,1,2.22431697417156e-28,4.52038610880027e-28
"168",NA,"18-44","Other","<HSG",0,0.00123166464201686,-Inf,0,-Inf,-Inf
"169",NA,"18-44","Other","HSG/GED",0.000488090589613432,0.00241544041825665,-1.60106604674477,5,7.06906480548685e-05,8.73237417148376e-05
"170",NA,"18-44","Other","Some college/TS",9.76181179226865e-05,0.00405194512590938,-3.72985176577706,1,7.31511293792925e-17,1.15213028772386e-16
"171",NA,"18-44","Other",">=College grad",0.000585708707536119,0.00261836130003284,-1.49951727810058,6,5.67813175792365e-05,7.1544460149838e-05
"172",NA,"45-64","Hispanic","<HSG",0.018059351815697,0.0438102986026815,-0.912779801925015,185,3.8228671034249e-37,8.30484922468167e-37
"173",NA,"45-64","Hispanic","HSG/GED",0.0126903553299492,0.0168234394538527,-0.286125832782693,130,0.00114338621573498,0.0013114563545252
"174",NA,"45-64","Hispanic","Some college/TS",0.0128855915657946,0.0270019231444191,-0.754202179165256,132,1.20098169121236e-18,1.99110122490471e-18
"175",NA,"45-64","Hispanic",">=College grad",0.00546661460367044,0.00534675526350839,0.0222901491880831,56,0.867880658516618,0.867880658516618
"176",NA,"45-64","NH White","<HSG",0.0324092151503319,0.020229058262565,0.483832258464414,332,2.01154621497585e-18,3.24942080880715e-18
"177",NA,"45-64","NH White","HSG/GED",0.0965443186255369,0.038879016813461,0.971420709122761,989,2.94886250323963e-200,1.5481528142008e-199
"178",NA,"45-64","NH White","Some college/TS",0.149453338539633,0.0879801297036989,0.599655740708764,1531,6.26038599175585e-107,2.81717369629013e-106
"179",NA,"45-64","NH White",">=College grad",0.12026552128075,0.0874842121813479,0.354828884696823,1232,7.67900985031224e-32,1.61259206856557e-31
"180",NA,"45-64","NH Black","<HSG",0.0229402577118313,0.0156340772853863,0.390890274324103,235,2.50875020012616e-09,3.59207415018064e-09
"181",NA,"45-64","NH Black","HSG/GED",0.0377782116360797,0.0186646758048999,0.724769028204124,387,2.38157818757856e-46,6.00157703269796e-46
"182",NA,"45-64","NH Black","Some college/TS",0.0446114798906677,0.0241514761425029,0.634835008727126,457,1.81722617234415e-41,4.40327880221851e-41
"183",NA,"45-64","NH Black",">=College grad",0.0229402577118313,0.0141514873152874,0.492028522286883,235,5.03256403130314e-14,7.73296424322189e-14
"184",NA,"45-64","Other","<HSG",0.0117141741507224,0.0087257134969047,0.297544653757255,120,0.00114492221426803,0.0013114563545252
"185",NA,"45-64","Other","HSG/GED",0.0184498242873877,0.00528118257682089,1.26423176899651,189,1.60682660959587e-75,5.95471037673763e-75
"186",NA,"45-64","Other","Some college/TS",0.0188402967590785,0.016156193060938,0.156426482119647,193,0.0311796195201386,0.0327386004961456
"187",NA,"45-64","Other",">=College grad",0.0308473252635689,0.0169887196100744,0.6106989107974,316,1.90627440417072e-27,3.75297773321111e-27
"188",NA,"64+","Hispanic","<HSG",0.0107379929714955,0.0283498617984353,-0.988797376025988,110,6.59469055606265e-27,1.25898637888469e-26
"189",NA,"64+","Hispanic","HSG/GED",0.00488090589613432,0.010349196131643,-0.757088276184756,50,4.53092611915249e-08,6.34329656681348e-08
"190",NA,"64+","Hispanic","Some college/TS",0.00400234283483014,0.00576311485518395,-0.36636761568387,41,0.0185569402569831,0.0201566764860334
"191",NA,"64+","Hispanic",">=College grad",0.00224521671222179,0.0046765037768442,-0.736188458763793,23,0.000309935021196821,0.000375498198757687
"192",NA,"64+","NH White","<HSG",0.0299687622022647,0.0396031673534012,-0.288735227988479,307,5.73324845947674e-07,7.85205767276162e-07
"193",NA,"64+","NH White","HSG/GED",0.0634517766497462,0.0716211313415135,-0.129871066954676,650,0.00134332443972464,0.00151123999469022
"194",NA,"64+","NH White","Some college/TS",0.074092151503319,0.0921937719894364,-0.238326733780549,759,2.40544583958794e-10,3.60816875938191e-10
"195",NA,"64+","NH White",">=College grad",0.057594689574385,0.0685756229337813,-0.186227197375454,590,1.09456316693282e-05,1.4072955003422e-05
"196",NA,"64+","NH Black","<HSG",0.0167903162827021,0.0159727282348476,0.0507507303360786,172,0.50922236296716,0.517435626885986
"197",NA,"64+","NH Black","HSG/GED",0.0202069504099961,0.0075226357723509,1.0009728767365,207,6.18636179209888e-50,1.69452518653143e-49
"198",NA,"64+","NH Black","Some college/TS",0.0157165169855525,0.0132187909745014,0.175607214764217,161,0.0268653862831225,0.0286867684040121
"199",NA,"64+","NH Black",">=College grad",0.00888324873096447,0.0061113204616949,0.376817342506653,91,0.00031844173654237,0.000378525083059799
"200",NA,"64+","Other","<HSG",0.00566185083951581,0.0122862872679302,-0.781417389779328,58,1.15504438599182e-09,1.69227433296476e-09
"201",NA,"64+","Other","HSG/GED",0.00888324873096447,0.00686999105291126,0.259033776224352,91,0.0136285244153586,0.0150631059327648
"202",NA,"64+","Other","Some college/TS",0.00761421319796954,0.0131173883238778,-0.549482876449741,78,9.80862970814088e-07,1.3147737693891e-06
"203",NA,"64+","Other",">=College grad",0.0108356110894182,0.0100308103015692,0.0779899324874007,111,0.41368944961557,0.427253038127555
"204","Male","18-44","Hispanic","<HSG",0.000195236235845373,0.0050514479854387,-3.25808891413679,2,8.19578340234639e-20,1.56576160522439e-19
"205","Male","18-44","Hispanic","HSG/GED",0.000390472471690746,0.0101771372115283,-3.27038029146178,4,3.73787990269248e-39,9.96767974051327e-39
"206","Male","18-44","Hispanic","Some college/TS",0.000292854353768059,0.00569322825879749,-2.97277392269037,3,3.27718170102057e-21,6.55436340204114e-21
"207","Male","18-44","Hispanic",">=College grad",9.76181179226865e-05,0,-8888888,1,-8888888,-36702505.2903226
"208","Male","18-44","NH White","<HSG",0,0.00390789401294286,-Inf,0,-Inf,-Inf
"209","Male","18-44","NH White","HSG/GED",0,0.0104209736474802,-Inf,0,-Inf,-Inf
"210","Male","18-44","NH White","Some college/TS",0,0.0117110837587597,-Inf,0,-Inf,-Inf
